"city","med_price","mean_price","med_weekly_price","num_listings","mean_long","mean_lat","mean_acc","mean_bath","mean_bed","mean_review","mode_prop","perc_apt","population","properties.ABB_NAME","area","norm_listings_area","norm_listings_pop"
"Manningham","109","154.111821086262","707",313,"145.144938095208","-37.7775556171885","4","1","2","92.75","House","0.300319488817891",125508,"Manningham",113,2.76991150442478,2.49386493291264
"Moreland","80","105.651499482937","460",967,"144.960279640538","-37.7581791232161","3","1","1","94.6871428571429","House","0.341261633919338",181725,"Moreland",51,18.9607843137255,5.32122712890356
"Port Phillip","120","163.220441595442","861",2808,"144.975773489174","-37.8570980632799","3","1","1","94.9788235294118","Apartment","0.736111111111111",113200,"Port Phillip",21,133.714285714286,24.8056537102473
"Darebin","80","126.458452722063","500",698,"145.005379797994","-37.7562050668768","3","1","1","94.678916827853","House","0.329512893982808",161609,"Darebin",54,12.9259259259259,4.31906638862935
"Casey","76","215.843137254902","380",153,"145.301743986275","-38.0514296995425","4","1","2","93.5288461538462","House","0.0261437908496732",340419,"Casey",409,0.374083129584352,0.449446123747499
"Melbourne","127","154.134500542888","880",7368,"144.958801492318","-37.8140185436944","4","1","1","93.1882191310321","Apartment","0.829397394136808",169961,"Melbourne",37,199.135135135135,43.3511217279258
"Monash","60","105.287215411559","338",571,"145.13659638021","-37.8951698027846","3","1","2","92.8220338983051","House","0.129597197898424",200077,"Monash",82,6.96341463414634,2.85390124801951
"Frankston","108","158.632768361582","678",177,"145.142815879661","-38.1417716054802","4","1","2","95.0507246376812","House","0.141242937853107",141845,"Frankston",130,1.36153846153846,1.24784095315309
"Yarra","116","144.670571010249","750",2049,"144.990471391996","-37.8044705300976","3","1","1","95.6750924784217","Apartment","0.510980966325037",98521,"Yarra",20,102.45,20.797596451518
"Bayside","145","225.421333333333","692",375,"145.012710133333","-37.93274213064","4","2","2","95.5341365461847","House","0.261333333333333",105718,"Bayside",37,10.1351351351351,3.5471726669063
"Boroondara","90","157.072289156627","600",664,"145.054274815361","-37.8215552813705","3","1","2","94.7152466367713","Apartment","0.435240963855422",181289,"Boroondara",60,11.0666666666667,3.66266017243186
"Kingston","100","135.686084142395","700",309,"145.092581560194","-37.9956334208738","4","1","2","93.8472906403941","House","0.229773462783172",163431,"Kingston",91,3.3956043956044,1.89070616957615
"Stonnington","118","165.938926588526","750",1621,"145.004742284454","-37.8477003711104","3","1","1","94.7962166809974","Apartment","0.705737199259716",116207,"Stonnington",26,62.3461538461538,13.9492457425112
"Glen Eira","86","118.541996830428","590",631,"145.034499951347","-37.8906426110777","3","1","2","94.9047619047619","Apartment","0.42472266244057",153858,"Glen Eira",39,16.1794871794872,4.10118420881592
"Maroondah","75","101.904347826087","497",115,"145.252504712174","-37.8082782371304","4","1","2","94.4137931034483","House","0.0869565217391304",117498,"Maroondah",61,1.88524590163934,0.978740063660658
"Maribyrnong","89","108.713302752294","420",436,"144.88754356055","-37.7989074970872","4","1","2","93.7729885057471","House","0.298165137614679",91387,"Maribyrnong",31,14.0645161290323,4.77091927735892
"Yarra Ranges","190","245.974059662776","1000",771,"145.458502013878","-37.7713024507393","4","1","2","96.7458396369138","House","0.0778210116731518",158173,"Yarra Ranges",2468,0.312398703403566,4.8744096653664
"Banyule","79","109.453201970443","350",203,"145.065923392611","-37.7401346626108","3","1","2","94.06","House","0.246305418719212",130237,"Banyule",63,3.22222222222222,1.5586968373043
"Whitehorse","80","99.7035830618892","400",614,"145.135431982573","-37.8256628950814","3","1","2","91.5114155251142","House","0.216612377850163",176196,"Whitehorse",64,9.59375,3.48475561306727
"Melton","71","103.115789473684","525",95,"144.639366803158","-37.6977269451579","4","1","2","90.5","House","0.0631578947368421",156713,"Melton",528,0.179924242424242,0.606203697204444
"Brimbank","52","79.0925925925926","351",108,"144.814563088889","-37.7559153712963","3","1","2","92.16","House","0.0648148148148148",208714,"Brimbank",123,0.878048780487805,0.517454507124582
"Hobsons Bay","100","137.866108786611","559.5",239,"144.855674830544","-37.8545624482845","4","1","2","94.7117647058824","House","0.154811715481172",96470,"Hobsons Bay",64,3.734375,2.47745413081787
"Wyndham","65","105.953051643192","351",426,"144.715162051408","-37.880368329507","4","1","2","94.5415162454874","House","0.0328638497652582",255322,"Wyndham",542,0.785977859778598,1.66848136862472
"Moonee Valley","79","109.848837209302","500",344,"144.915775175581","-37.7667005881105","3","1","1","94.4959677419355","House","0.351744186046512",127883,"Moonee Valley",43,8,2.6899587904569
"Whittlesea","50","87.7080291970803","435",137,"145.05852089854","-37.644458730146","4","1","2","93.4225352112676","House","0.0948905109489051",223322,"Whittlesea",490,0.279591836734694,0.613463966828167
"Greater Dandenong","50","99.6802721088435","425",147,"145.177973238095","-37.9761576506803","3","1","2","91.9313725490196","House","0.0748299319727891",166094,"Greater Dandenong",130,1.13076923076923,0.88504100087902
"Nillumbik","120","147.5","550",88,"145.204649048864","-37.6780541973864","4","1","2","97.4722222222222","House","0.0681818181818182",64941,"Nillumbik",432,0.203703703703704,1.35507614604025
"Knox","73","106.502857142857","390",175,"145.256945225714","-37.8827721250857","3","1","2","93.05","House","0.0571428571428571",163203,"Knox",114,1.53508771929825,1.07228421046182
"Cardinia","150","167.121951219512","995",123,"145.488158895122","-37.994880474065","4","1","2","96.4725274725275","House","0.0487804878048781",107120,"Cardinia",1283,0.0958690568978956,1.14824495892457
"Hume","60","108.552941176471","425",170,"144.867968333529","-37.6323073494706","4","1","2","94.2015503875969","House","0.0176470588235294",224394,"Hume",504,0.337301587301587,0.757596014153676
